产品信息,设备类型,CPE信息
Microsoft Windows 2003 daytime,,cpe:/o:microsoft:windows_server_2003
Microsoft Windows 7 daytime,,
Microsoft Windows International daytime,,cpe:/o:microsoft:windows
Microsoft Windows USA daytime,,cpe:/o:microsoft:windows
Microsoft Windows daytime,,cpe:/o:microsoft:windows
Sun Solaris daytime,,cpe:/o:sun:sunos
Tardis 2000 daytime,,
TrueTime nts100,,
Windows daytime,,cpe:/o:microsoft:windows
Windows small service daytime,,cpe:/o:microsoft:windows
,,
Oracle DBSNMP,,
Oracle Intelligent Agent,,
D-Link Click 'n Connect,broadband router,
DEC Notes,,
Lotus Domino decommission server,,cpe:/a:ibm:lotus_domino
ManageEngine Desktop Central DesktopCentralServer,remote management,cpe:/a:zohocorp:manageengine_desktop_central
DEVONthink dcoument management,,cpe:/o:apple:mac_os_x
IRIX Distributed GL Daemon,,cpe:/o:sgi:irix
Diablo 2 game server,,
Serpento dictd,,
dictd,,
Digi USB-over-TCP bridge,specialized,
Digifort Enterprise analytics,,cpe:/a:digifort:digifort:$1 | cpe:/o:microsoft:windows
Digifort Enterprise LPR,,cpe:/a:digifort:digifort:$1 | cpe:/o:microsoft:windows
Digifort Enterprise 6.5,,cpe:/a:digifort:digifort:6.5.0_final | cpe:/o:microsoft:windows
Dedicated Micros Digital Sprite 2 camera,webcam,
Digital Watchdog IP camera unknown service,webcam,
OpenDCHub directconenct hub admin port,,
Direct Connect P2P,,cpe:/o:microsoft:windows
PtokaX directconnect hub,,
Shadows DirectConnect hub,,
Shakespeer Direct Connect GUI,,cpe:/o:apple:mac_os_x
,,
DirectUpdate dynamic IP updater,,
Active@ Hard Disk Monitor,,
distccd,,
Cisco $1 Router,router,cpe:/o:cisco:ios
Dnastar Lasergene,,cpe:/a:dnastar:lasergene
Distributed.Net HTTP Keyproxy,,
,,
Documentum Content Server,,cpe:/a:emc:documentum_content_server
Docker Swarm,,cpe:/a:redhat:docker
Docker $3-ce for $2 (Api-Version: $1),,
Docker remote API,,
Docker remote API,,cpe:/a:docker:docker:$1
Docker remote API,,cpe:/a:docker:docker:$2
Docker remote API,,cpe:/a:docker:docker:$3
Docker remote API,,cpe:/a:docker:docker:$4
Surecomp DOKA 5,,cpe:/a:surecomp:doka_5
Greyware Domain Time II,,
Actiontec router dnsd,broadband router,
Apple device dnsd,,
Array SmartDNS,,
ArubaOS 3.3 named,,cpe:/o:arubanetworks:arubaos:3.3
Brandon Black gdnsd,,
Check Point Meta IP ISC BIND,,cpe:/a:isc:bind:$1
Cloudflare F-Root DNS server,,
Cloudflare public DNS,,
D J Bernstein djbdns,,
D-Link router dnsd,broadband router,
Draytek DNS,,
Eero device dnsd,WAP,
ISC BIND,,
ISC BIND,,cpe:/a:isc:bind
ISC BIND,,cpe:/a:isc:bind | cpe:/o:apple:mac_os_x
ISC BIND,,cpe:/a:isc:bind:$1
ISC BIND,,cpe:/a:isc:bind:$1 | cpe:/o:fedoraproject:fedora_core:$2
ISC BIND,,cpe:/a:isc:bind:$1 | cpe:/o:linux:linux_kernel
ISC BIND,,cpe:/a:isc:bind:$1 | cpe:/o:redhat:enterprise_linux:$2
ISC BIND,,cpe:/a:isc:bind:$2 | cpe:/o:linux:linux_kernel
Incapsula WAF DNS,,
Incognito DNS Commander,,
Incognito DNS Service,,
Kube-DNS,,
Michael Tokarev rbldnsd,,
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2003::sp2
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2008
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2008::sp1
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2008::sp2
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2008:r2
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2008:r2:sp1
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2012
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2012:r2
Microsoft DNS,,cpe:/a:microsoft:dns | cpe:/o:microsoft:windows_server_2016
Mikrotik DNS,router,
NLnet Labs NSD,,cpe:/a:nlnetlabs:nsd
NLnet Labs NSD,,cpe:/a:nlnetlabs:nsd:$1
NOS Communications dnsd,broadband router,
Nominum Vantio $1,,
Nominum Vantio AuthServ,,
Nominum Vantio,,
OzymanDNS DNS tunnel,,
Plesk Onyx BIND,,cpe:/a:isc:bind | cpe:/a:parallels:plesk_onyx
PowerDNS Authoritative Server,,cpe:/a:powerdns:authoritative:$1
